Study Identified	Summary of study	SRA link	Brief SRA description	Manuscript (DOI)	Manuscript title
DRP000768	phosphate starvation in roots and shoots	http://www.ncbi.nlm.nih.gov/bioproject/PRJDB2496	Transcriptome profiles of wheat variety Chinese Spring (CS) in response to Pi starvation (−P) for 10 days.	10.1186/1471-2164-14-77	Characterisation of the wheat (triticum aestivum L.) transcriptome by de novo assembly for the discovery of phosphate starvation-responsive genes: gene expression in Pi-stressed wheat
ERP003465	fusarium head blight infected spikelets	http://www.ncbi.nlm.nih.gov/bioproject/PRJEB4202	Near isogenic wheat lines, differing in the presence of the Fusarium graminearum FHB-resistance QTL Fhb1 and Qfhs.ifa-5A, under disease pressure (30 and 50 hai) as well as with mock-inoculation	10.1186/1471-2164-14-728	Quantitative trait loci-dependent analysis of a gene co-expression network associated with Fusarium head blight resistance in bread wheat (Triticum aestivum L.)
ERP004505	grain tissue-specific developmental timecourse	http://www.ncbi.nlm.nih.gov/bioproject/PRJEB5135	Analysis of the cell type specific expression of homeologous genes in the developing wheat grain	10.1126/science.1250091 	Genome interplay in the grain transcriptome of hexaploid bread wheat
SRP004884	flag leaf downregulation of GPC	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA134053	Wild type bread wheat plants and GPC RNAi plants 12 days after anthesis	10.1186/1471-2164-12-492	Effect of the down-regulation of the high Grain Protein Content (GPC) genes on the wheat transcriptome during monocarpic senescence
SRP013449	grain tissue-specific developmental timecourse	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA167943	Transcriptomes of the aleurone and starchy endosperm tissues of the wheat seed (Triticum aestivum) at time points critical to the development of the aleurone layer of 6, 9 and 14 days post anthesis.	 10.1111/j.1467-7652.2012.00705.x	Gene expression in the developing aleurone and starchy endosperm of wheat
SRP017303	stripe rust infected seedlings	http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP017303	Pool of stripe rust infected wheat leaves	10.1186/1471-2164-14-270	Genome analyses of the wheat yellow (stripe) rust pathogenPuccinia striiformis f. sp. tritici reveal polymorphic and haustorial expressed secreted proteins as candidate effectors
SRP022869	Septoria tritici infected seedlings	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA196595	Molecular mechanisms underlying the interplay between fungal pathogenicity and host responses at specific growth phases and the factors triggering disease transition.	10.1371/journal.pone.0081606	Transcriptional Reprogramming of Wheat and the Hemibiotrophic Pathogen Septoria tritici during Two Phases of the Compatible Interaction
SRP028357	shoots and leaves of nulli tetra group 1 and group 5	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA213168	RNAseq of nulli-tetrasomic wheat lines (shoots and leaves)	10.1186/1471-2164-15-276	Patterns of homoeologous gene expression shown by RNA sequencing in hexaploid bread wheat
SRP029372	grain tissue-specific developmental timecourse	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA217717	Gene expression profiling of morphological stage of developing wheat grain	10.1371/journal.pone.0083530	Evaluation of Assembly Strategies Using RNA-Seq Data Associated with Grain Development of Wheat (Triticum aestivum L.)
SRP038912	comparison of stamen, pistil and pistilloidy expression	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA239299	Transcriptional profiling of pistillody stamen, pistil and stamen in wheat line HTS-1	10.1186/s12864-015-1453-0	Pistillody mutant reveals key insights into stamen and pistil development in wheat (Triticum aestivum L.)
SRP041017	stripe rust and powdery mildew timecourse of infection in seedlings	http://www.ncbi.nlm.nih.gov/bioproject/243835	Transcriptome Divergence and Overlap for Wheat in Response to Stripe rust and Powdery Mildew Pathogen Stress	10.1186/1471-2164-15-898	Large-scale transcriptome comparison reveals distinct gene activations in wheat responding to stripe rust and powdery mildew.
SRP041022	developmental time-course of synthetic hexaploid	http://www.ncbi.nlm.nih.gov/bioproject/244006	RNAseq of three tissues of nascent allohexaploid wheat and its following generations, their progenitors, and Chinese Spring	10.1105/tpc.114.124388	mRNA and Small RNA Transcriptomes Reveal Insights into Dynamic Homoeolog Regulation of Allopolyploid Heterosis in Nascent Hexaploid Wheat
ERP008767	grain tissue-specific expression at 12 days post anthesis	http://www.ncbi.nlm.nih.gov/bioproject/PRJEB7795 	Inner pericarp, outer pericarp and endosperm layers from developing grain of bread wheat cv. Holdfast at 12 days post-anthesis.	10.1186/s12870-015-0520-7	Heterologous expression and transcript analysis of gibberellin biosynthetic genes of grasses reveals novel functionality in the GA3ox family
SRP045409	drought and heat stress time-course in seedlings	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA257938 	RNAseq of 1-week old wheat seedling leaves subjected to drought stress, heat stress and their combination before (0h) and after stress (1h or 6h)	10.1186/s12870-015-0511-8	Temporal transcriptome profiling reveals expression partitioning of homeologous genes contributing to heat and drought acclimation in wheat (Triticum aestivum L.)
INRA-RNAseq (ERP004714)	developmental time-course of Chinese Spring	http://www.ncbi.nlm.nih.gov/bioproject/PRJEB5314 	Whole transcriptome sequencing of wheat 3B chromosome	10.1126/science.1249721 	Structural and functional partitioning of bread wheat chromosome 3B
SRP056412	grain developmental timecourse with 4A dormancy QTL	http://www.ncbi.nlm.nih.gov/bioproject/PRJNA278920 	This study was to identify candidate genes underlying the 4AL QTL for grain dormancy in wheat. RNA was sequenced from pooled NILs segregating for the QTL	10.1186/s13059-015-0665-6	Transcriptomic analysis of wheat near-isogenic lines identifies PM19-A1 andA2 as candidates for a major dormancy QTL
